timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
104385811,0.054173283,0.022653604,0.15279508,7942,0,-2.3145187,0.24083439,-9.457247,3809,0
104389861,0.05174211,0.025091494,0.15316537,4050,0,-2.3351676,0.18699642,-9.337883,7942,0
104394027,0.054885764,0.027324814,0.15396531,4166,0,-2.335861,0.15257125,-9.454915,4050,0
104397776,0.05492756,0.026349328,0.1568002,3749,0,-2.3098443,0.16528928,-9.529742,4166,0
104401798,0.05391808,0.017201113,0.15963654,4022,0,-2.3297405,0.16158919,-9.467611,3749,0
104405744,0.052975446,0.019848257,0.16230397,3946,0,-2.3463447,0.22044197,-9.482191,4022,0
104409824,0.050887413,0.01940092,0.15762836,4080,0,-2.3639455,0.3076137,-9.433514,3946,0
104413933,0.055309694,0.02147649,0.15809417,4109,0,-2.410941,0.22961237,-9.397668,4080,0
104417836,0.048530933,0.029883297,0.15413207,3903,0,-2.3575027,0.21505252,-9.517975,4109,0
104421743,0.040189043,0.019967748,0.15417334,3907,0,-2.2695327,0.28953618,-9.6198635,3903,0
104425727,0.03742911,0.019676507,0.16094728,3984,0,-2.29337,0.29132846,-9.507566,3907,0
104429727,0.03833627,0.019691924,0.15969586,4000,0,-2.3387585,0.2791096,-9.518148,3984,0
104433911,0.03885183,0.015300022,0.15840256,4184,0,-2.364941,0.29158485,-9.4806385,4000,0
104437840,0.03422668,0.023468476,0.16160665,3929,0,-2.3204792,0.2580392,-9.473392,4184,0
104441727,0.034815997,0.026021305,0.15530257,3887,0,-2.2733905,0.2327108,-9.480283,3929,0
104445734,0.043984562,0.022839373,0.1504759,4007,0,-2.2715063,0.1927887,-9.422134,3887,0
104449729,0.047410056,0.017802466,0.1575652,3995,0,-2.2957811,0.20994404,-9.424509,4007,0
104453784,0.04899149,0.016015448,0.16267155,4055,0,-2.3036225,0.2168746,-9.442673,3995,0
104457735,0.046135727,0.015725879,0.16472228,3951,0,-2.3285117,0.16449001,-9.594434,4055,0
104461728,0.04563204,0.018499143,0.1619076,3993,0,-2.3817978,0.22690828,-9.566727,3951,0
104465724,0.04981655,0.017869763,0.16088226,3996,0,-2.3068607,0.26102692,-9.427022,3993,0
104469815,0.052072853,0.017319195,0.16459778,4091,0,-2.300764,0.2420843,-9.486334,3996,0
104473797,0.056493506,0.021407325,0.16466887,3982,0,-2.3558097,0.23907644,-9.547301,4091,0
104477727,0.054864094,0.019829482,0.1605718,3930,0,-2.3751605,0.24675377,-9.547532,3982,0
